,Name,Address,Lattitude,Longitude,Faculty,Type,city,district,,,Ariyalur
0,CENTRAL POLYTECHNIC COLLEGE,"CIT Campus, Taramani, Chennai, Tamil Nadu 600113, India",12.9999143,80.2470049,Polytechnic,Aided,Chennai,Chennai,,,Chengalpattu
1,TAMILNADU POLYTECHNIC COLLEGE,"Tirupparankunram Rd, Jaihindpuram, Madurai, Tamil Nadu 625011, India",9.9088746,78.1097785,Polytechnic,Aided,Madurai,Madurai,,,Chennai
2,DR DHARMAMBAL GOVT POLY FOR WOMEN,"4th Cross St, Taramani, Chennai, Tamil Nadu 600113, India",12.9934671,80.2492516,Polytechnic,Aided,Chennai,Chennai,,,Coimbatore
3,MURUGAPPA POLYTECHNIC COLLEGE,"Sathyamurthy Nagar, Avadi, Chennai, Tamil Nadu 600062, India",13.1259394,80.1173073,Polytechnic,Aided,,Thiruvallur,,,Cuddalore
4,PSG POLYTECHNIC COLLEGE,"Avinashi Rd, Peelamedu, Coimbatore, Tamil Nadu 641004, India",11.0246026,77.002793,Polytechnic,Aided,,Coimbatore,,,Dharmapuri
5,SRI RAMAKRISHNA MISSION VIDYALAYA POLYTECHNIC COLLEGE,"Mettupalayam Road, Periyanaickenpalayam, Post SRKV, Coimbatore, Tamil Nadu 641020, India",11.1443509,76.9423205,Polytechnic,Aided,,Coimbatore,,,Dindgul
6,NACHIMUTHU POLYTECHNIC COLLEGE,"Udumalai Road, Pollachi, Tamil Nadu 642003, India",10.6557578,77.0353818,Polytechnic,Aided,,Coimbatore,,,Erode
7,THIAGARAJAR POLYTECHNIC COLLEGE,"Junction Main Rd, Jagir Ammapalayam, Salem, Tamil Nadu 636005, India",11.675841,78.125271,Polytechnic,Aided,,Salem,,,Kallakurichi
8,SESHASAYEE INSTITUTE OF TECHNOLOGY,"10 Thanjavur road Kamaraj Nagar, Ariyamangalam Area, Tiruchirappalli, Tamil Nadu 620010, India",10.8079326,78.7271345,Polytechnic,Aided,Tiruchirappalli,Tiruchirappalli,,,Kanchipuram
9,"V.S.V.N.POLYTECHNIC COLLEGE, VIRUDHUNAGAR","College Cement Rd, Anna Nagar, Virudhunagar, Tamil Nadu 626001, India",9.5788197,77.9694064,Polytechnic,Aided,,Virudhunagar,,,Kanyakumari
10,"P.A.C. RAMASAMY RAJA POLYTECHNIC COLLEGE,","PSK Nagar, Rajapalayam, Tamil Nadu 626108, India",9.4315778,77.562492,Polytechnic,Aided,,Virudhunagar,,,Karur
11,SANKAR POLYTECHNIC COLLEGE,"Shankar Nagar, Tirunelveli, Tamil Nadu 627357, India",8.7927356,77.710153,Polytechnic,Aided,,Tirunelveli,,,Krishnagiri
12,PERIYAR CENTENARY POLYTECHNIC COLLEGE,"Periyar Nagar, Vallam, Thanjavur, Tamil Nadu 613403, India",10.7215758,79.0656745,Polytechnic,Aided,,Thanjavur,,,Madurai
13,T.P.E.V.R GOVT. POLYTECHNIC COLLEGE,"Bagayam Road, Sivaramapuram, Vellore, Tamil Nadu 632002, India, Bagayam, Vellore, Tamil Nadu 632002, India",12.8794603,79.123168,Polytechnic,Government,Vellore,Vellore,,,Mayiladuthurai
14,GOVERNMENT POLYTECHNIC COLLEGE,"Kathinayanapalli, Tamil Nadu 635001, India",12.5363829,78.2468512,Polytechnic,Government,,Krishnagiri,,,Nagapattinam
15,GOVERNMENT POLYTECHNIC COLLEGE,"Avinashi Rd, Civil Aerodrome Post, Peelamedu, Coimbatore, Tamil Nadu 641014, India",11.0309757,77.0297465,Polytechnic,Government,Coimbatore,Coimbatore,,,Namakkal
16,GOVERNMENT POLYTECHNIC COLLEGE,"Fingerpost, Ooty, Tamil Nadu 643006, India",11.4213082,76.6777152,Polytechnic,Government,,The Nilgiris,,,Perambalur
17,GOVERNMENT POLYTECHNIC COLLEGE,"SH-26, Trichy Pudukottai Aranthangi Mimisal, Bypass Road, Pudukkottai, 614616, India",10.155355,78.999165,Polytechnic,Government,,Pudukkottai,,,Puducherry
18,GOVERNMENT POLYTECHNIC COLLEGE,"Thuvakudi, Tiruchirappalli, Tamil Nadu 620022, India",10.7666475,78.8036229,Polytechnic,Government,Trichy Corporation Limits,Tiruchirappalli,,,Pudukkottai
19,ALAGAPPA POLYTECHNIC COLLEGE,"College Rd, Karaikudi, Tamil Nadu 630004, India",10.0919641,78.7950303,Polytechnic,Government,,Sivagangai,,,Ramanathapuram
